y_norm,u_x,u_y
0.333333,-0.307254,0.0354083
0.335227,-0.306132,0.0359068
0.337121,-0.304963,0.0364007
0.339015,-0.303749,0.0368898
0.340909,-0.30249,0.0373739
0.342803,-0.301186,0.0378529
0.344697,-0.299839,0.0383266
0.346591,-0.298451,0.0387951
0.348485,-0.29702,0.0392581
0.350379,-0.29555,0.0397156
0.352273,-0.29404,0.0401674
0.354167,-0.292492,0.0406135
0.356061,-0.290906,0.0410538
0.357955,-0.289284,0.0414883
0.359848,-0.287626,0.0419168
0.361742,-0.285934,0.0423393
0.363636,-0.284208,0.0427558
0.36553,-0.28245,0.0431663
0.367424,-0.28066,0.0435707
0.369318,-0.27884,0.0439689
0.371212,-0.276991,0.044361
0.373106,-0.275113,0.044747
0.375,-0.273207,0.0451268
0.376894,-0.271275,0.0455005
0.378788,-0.269317,0.0458681
0.380682,-0.267335,0.0462296
0.382576,-0.265329,0.046585
0.38447,-0.263301,0.0469343
0.386364,-0.261251,0.0472777
0.388258,-0.25918,0.047615
0.390152,-0.257089,0.0479465
0.392045,-0.254979,0.0482721
0.393939,-0.252851,0.0485919
0.395833,-0.250705,0.0489059
0.397727,-0.248544,0.0492143
0.399621,-0.246366,0.0495171
0.401515,-0.244175,0.0498144
0.403409,-0.241969,0.0501063
0.405303,-0.23975,0.0503928
0.407197,-0.237518,0.0506741
0.409091,-0.235276,0.0509502
0.410985,-0.233022,0.0512212
0.412879,-0.230758,0.0514874
0.414773,-0.228484,0.0517486
0.416667,-0.226202,0.0520052
0.418561,-0.223912,0.0522571
0.420455,-0.221614,0.0525045
0.422348,-0.21931,0.0527475
0.424242,-0.216999,0.0529861
0.426136,-0.214682,0.0532207
0.42803,-0.21236,0.0534511
0.429924,-0.210034,0.0536777
0.431818,-0.207703,0.0539004
0.433712,-0.205369,0.0541195
0.435606,-0.203032,0.0543349
0.4375,-0.200692,0.054547
0.439394,-0.198349,0.0547557
0.441288,-0.196005,0.0549612
0.443182,-0.19366,0.0551637
0.445076,-0.191313,0.0553631
0.44697,-0.188966,0.0555598
0.448864,-0.186618,0.0557538
0.450758,-0.18427,0.0559451
0.452652,-0.181922,0.0561341
0.454545,-0.179575,0.0563206
0.456439,-0.177229,0.0565049
0.458333,-0.174883,0.0566872
0.460227,-0.172539,0.0568674
