x_norm,u_x,u_y
0.352273,-0.108643,0.235038
0.354167,-0.108959,0.23327
0.356061,-0.109269,0.23148
0.357955,-0.109575,0.229668
0.359848,-0.109875,0.227833
0.361742,-0.110169,0.225978
0.363636,-0.110459,0.224101
0.36553,-0.110743,0.222205
0.367424,-0.111023,0.220288
0.369318,-0.111298,0.218351
0.371212,-0.111568,0.216396
0.373106,-0.111833,0.214422
0.375,-0.112094,0.21243
0.376894,-0.11235,0.21042
0.378788,-0.112602,0.208393
0.380682,-0.112849,0.206349
0.382576,-0.113092,0.204289
0.38447,-0.113331,0.202213
0.386364,-0.113566,0.200121
0.388258,-0.113797,0.198014
0.390152,-0.114024,0.195893
0.392045,-0.114248,0.193757
0.393939,-0.114467,0.191608
0.395833,-0.114683,0.189446
0.397727,-0.114896,0.187271
0.399621,-0.115106,0.185083
0.401515,-0.115312,0.182883
0.403409,-0.115515,0.180672
0.405303,-0.115714,0.178449
0.407197,-0.115911,0.176216
0.409091,-0.116105,0.173972
0.410985,-0.116297,0.171719
0.412879,-0.116485,0.169455
0.414773,-0.116671,0.167183
0.416667,-0.116855,0.164902
0.418561,-0.117036,0.162612
0.420455,-0.117215,0.160314
0.422348,-0.117392,0.158009
0.424242,-0.117567,0.155696
0.426136,-0.117739,0.153376
0.42803,-0.11791,0.15105
0.429924,-0.118079,0.148717
0.431818,-0.118246,0.146378
0.433712,-0.118412,0.144034
0.435606,-0.118576,0.141684
0.4375,-0.118739,0.139329
0.439394,-0.1189,0.136969
0.441288,-0.119061,0.134605
0.443182,-0.11922,0.132237
0.445076,-0.119378,0.129865
0.44697,-0.119535,0.127489
0.448864,-0.119691,0.12511
0.450758,-0.119846,0.122728
0.452652,-0.12,0.120343
0.454545,-0.120154,0.117955
0.456439,-0.120308,0.115565
0.458333,-0.120461,0.113173
0.460227,-0.120613,0.110779
0.462121,-0.120765,0.108383
0.464015,-0.120917,0.105985
0.465909,-0.121069,0.103587
0.467803,-0.12122,0.101187
